name,description,required,customer_type,trade,category,phase,instructions,tags
Building Permit - HVAC Residential,City/county building permit required for HVAC equipment replacement or installation,true,Residential,HVAC,Permits,Pre-Construction,Contact your local building department to obtain permit. Provide equipment specifications and contractor license number.,"permit,hvac,residential,building"
Mechanical Permit - HVAC Residential,Mechanical permit for HVAC work (separate from building permit in some jurisdictions),true,Residential,HVAC,Permits,Pre-Construction,Apply for mechanical permit through city/county. May require load calculation and equipment specs.,"permit,hvac,residential,mechanical"
HOA Approval - HVAC Residential,Homeowners Association approval for exterior HVAC equipment placement,false,Residential,HVAC,Permits,Pre-Construction,Submit equipment specs and placement diagram to HOA for approval. Allow 30-45 days for review.,"hoa,hvac,residential,approval"
EPA 608 Certification - HVAC,EPA Section 608 refrigerant handling certification (technician must provide),true,Residential,HVAC,Compliance,Pre-Construction,Contractor must provide copy of EPA 608 Universal certification for refrigerant work.,"epa,hvac,certification,refrigerant"
General Liability Certificate - HVAC Residential,Certificate of general liability insurance ($1M/$2M),true,Residential,HVAC,Insurance,Pre-Construction,Request Certificate of Insurance from contractor naming you as additional insured.,"insurance,liability,hvac,residential"
Workers Compensation Certificate - HVAC Residential,Workers compensation insurance certificate,true,Residential,HVAC,Insurance,Pre-Construction,Request Workers Comp certificate if contractor has employees.,"insurance,workers-comp,hvac,residential"
HVAC Residential Contract,Signed contract defining scope of work and payment terms,true,Residential,HVAC,Contracts,Pre-Construction,Review and sign contract. Ensure warranty terms and payment schedule are clear.,"contract,hvac,residential"
Load Calculation - Manual J,ACCA Manual J load calculation for proper HVAC sizing,true,Residential,HVAC,Technical,Pre-Construction,Request Manual J calculation from contractor to verify equipment is properly sized for your home.,"manual-j,hvac,residential,load-calc"
Equipment Specifications - HVAC Residential,Manufacturer equipment specs (model number SEER efficiency tonnage),true,Residential,HVAC,Technical,Pre-Construction,Request equipment specs sheet showing model number SEER rating and tonnage.,"specs,hvac,residential,equipment"
Final Inspection Report - HVAC Residential,City/county final inspection sign-off on permit,true,Residential,HVAC,Inspection,Post-Construction,Schedule final inspection with building department. Contractor must be present.,"inspection,hvac,residential,final"
Warranty Documentation - HVAC Residential,Manufacturer and contractor warranty documentation,true,Residential,HVAC,O&M,Post-Construction,Register equipment warranty with manufacturer. Keep contractor warranty documentation.,"warranty,hvac,residential"
Plumbing Permit - Residential,Plumbing permit for water heater repiping or fixture installations,true,Residential,Plumbing,Permits,Pre-Construction,Apply for plumbing permit through city/county. Required for water heater replacement repiping.,"permit,plumbing,residential"
Gas Permit - Residential,Gas permit for gas water heaters or gas line extensions,true,Residential,Plumbing,Permits,Pre-Construction,Required for gas-fired water heaters or new gas lines. Contact city/county for application.,"permit,gas,plumbing,residential"
Plumbing License - Residential,State/local master plumber license,true,Residential,Plumbing,Compliance,Pre-Construction,Request copy of contractor's master plumber license.,"license,plumbing,residential"
Backflow Certification - Plumbing,Backflow preventer installer/tester certification,true,Residential,Plumbing,Compliance,Pre-Construction,If backflow preventer required request contractor's backflow certification.,"backflow,plumbing,certification,residential"
Plumbing Contract - Residential,Signed plumbing contract,true,Residential,Plumbing,Contracts,Pre-Construction,Review and sign contract. Ensure scope payment terms and warranty are clear.,"contract,plumbing,residential"
Water Heater Specifications - Residential,Water heater specs (tankless vs tank GPM BTU),true,Residential,Plumbing,Technical,Pre-Construction,Request water heater specs showing capacity recovery rate and efficiency.,"specs,plumbing,residential,water-heater"
Backflow Test Report - Plumbing,Annual backflow test report,true,Residential,Plumbing,Inspection,Post-Construction,Schedule annual backflow test with certified tester. Submit report to water utility.,"backflow,plumbing,residential,test"
Plumbing Final Inspection - Residential,City/county final plumbing inspection,true,Residential,Plumbing,Inspection,Post-Construction,Schedule final inspection after work complete. Contractor must be present.,"inspection,plumbing,residential,final"
Electrical Permit - Residential,Electrical permit for panel upgrades circuits or EV chargers,true,Residential,Electrical,Permits,Pre-Construction,Apply for electrical permit. Required for panel upgrades new circuits EV chargers.,"permit,electrical,residential"
Utility Interconnect Agreement - Solar Residential,Utility interconnection agreement for grid-tied solar systems,true,Residential,Solar,Permits,Pre-Construction,Submit interconnection application to utility. Allow 30-60 days for approval.,"interconnect,solar,residential,utility"
Electrical Contractor License - Residential,State/local master electrician license,true,Residential,Electrical,Compliance,Pre-Construction,Request copy of contractor's master electrician license.,"license,electrical,residential"
Electrical Contract - Residential,Signed electrical contract,true,Residential,Electrical,Contracts,Pre-Construction,Review and sign contract. Verify scope payment and warranty terms.,"contract,electrical,residential"
Load Calculation - NEC Article 220,Electrical panel load calculation per NEC Article 220,true,Residential,Electrical,Technical,Pre-Construction,Request load calculation to verify panel capacity for new loads.,"load-calc,electrical,residential,nec"
Single-Line Diagram - Electrical Residential,Electrical system single-line diagram,false,Residential,Electrical,Technical,Pre-Construction,Request single-line diagram showing electrical system layout.,"diagram,electrical,residential"
Electrical Final Inspection - Residential,City/county final electrical inspection,true,Residential,Electrical,Inspection,Post-Construction,Schedule final inspection. Contractor must be present for sign-off.,"inspection,electrical,residential,final"
Solar PPA - Residential,Solar Power Purchase Agreement (customer buys power not equipment),false,Residential,Solar,Contracts,Pre-Construction,Review PPA terms. Understand $/kWh rate escalator and contract length.,"ppa,solar,residential,contract"
Solar Lease - Residential,Solar equipment lease agreement,false,Residential,Solar,Contracts,Pre-Construction,Review lease terms. Understand monthly payment and contract length.,"lease,solar,residential,contract"
